data_family,variable,description,type,unit,linked_attributes,partition,formula,base_variable,cumulative_of,no_report,synthetic_tag,synthetic_blocker,modifiers,main,main_variable,variation
03_hospital capacity,icu_patients_by_age_group_15_24,Number of ICU Patients by Age Group (15-24),indicator,qty,,"source, geo_code","icu_patients_by_age_group_15_24(reporting_date, hospitalised_infected_patients_in_icu)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""15-24""}, {""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,
03_hospital capacity,icu_patients_by_age_group_25_49,Number of ICU Patients by Age Group (25-49),indicator,qty,,"source, geo_code","icu_patients_by_age_group_25_49(reporting_date, hospitalised_infected_patients_in_icu)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""25-49""}, {""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,
03_hospital capacity,icu_patients_by_age_group_50_64,Number of ICU Patients by Age Group (50-64),indicator,qty,,"source, geo_code","icu_patients_by_age_group_50_64(reporting_date, hospitalised_infected_patients_in_icu)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""50-64""}, {""variable"": ""case_status"", ""value"": ""confirmed""},{""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,
03_hospital capacity,icu_patients_by_age_group_65_79,Number of ICU Patients by Age Group (65-79),indicator,qty,,"source, geo_code","icu_patients_by_age_group_65_79(reporting_date, hospitalised_infected_patients_in_icu)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""65-79""}, {""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,
03_hospital capacity,icu_patients_by_age_group_80+,Number of ICU Patients by Age Group (80+),indicator,qty,,"source, geo_code","icu_patients_by_age_group_80+(reporting_date, hospitalised_infected_patients_in_icu)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""80+""}, {""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,
03_hospital capacity,infected_patients_in_ltcf,,observation,people,,"Source, care_type, geo_code",,number_of_patients,,,,,"[{""variable"": ""care_type"", ""value"": ""ltcf""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,,
03_hospital capacity,number_of_beds,Number of beds available for patient treatment,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",TRUE,number_of_beds,
03_hospital capacity,number_of_emergency_beds,Number of operable emergency beds available on the hospital system on a given location and date,indicator,qty,,"Source, resource_type, geo_code","number_of_emergency_beds(reporting_period, number_of_operable_beds)",number_of_resources,,,"missing_real_data_2022, fx2023",,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""emergency""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,by bed_type
03_hospital capacity,number_of_icu_operable_beds,Number of operable ICU beds available on the hospital system on a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""icu""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,by bed_type
03_hospital capacity,number_of_icu_operable_beds_per_100k,Ratio of operable ICU beds available on the hospital system over 100.000 people on a given location and date,resource,qty,,"Source, resource_per_capita, geo_code",,resources_per_capita,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""icu"", ""magnitude"": ""100k""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,by bed_type
03_hospital capacity,number_of_icu_specialist_anesthesiologist_available,Number of available ICU anesthesiologist specialists on a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""staff""}, {""variable"": ""staff_type"", ""value"": ""icu_specialist-anesthesiologist""}]",,available_staff,ratio in population
03_hospital capacity,number_of_lctf_beds,Number of beds available in long term care facilities on a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""ltcf""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,by bed_type
03_hospital capacity,number_of_lctf_beds_per_100k,Ratio of beds available in long term care facilities over 100.000 people on a given location and date,resource,qty,,"Source, resource_per_capita, geo_code",,resources_per_capita,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""lctf"", ""magnitude"": ""100k""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,ratio in population
03_hospital capacity,number_of_nurses_available,Number of available nurses on a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""staff""}, {""variable"": ""staff_type"", ""value"": ""nurse""}]",,available_staff,by staff type
03_hospital capacity,number_of_operable_beds,Number of operable beds available on the hospital system on a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""operable""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,by bed_type
03_hospital capacity,number_of_operable_beds_per_100k,Ratio of operable beds available on the hospital system over 100.000 people on a given location and date,resource,qty,,"Source, resource_per_capita, geo_code",,resources_per_capita,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""operable"", ""magnitude"": ""100k""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,ratio in population
03_hospital capacity,number_of_patients,Number of patients being treated for the pathogen during a particular period of time,observation,people,,"Source, care_type, geo_code",,,,,,,,,hospitalised_infected,
03_hospital capacity,number_of_patients_alert,Alert triggered by the number of infected patients going over the expected using a modified version of the ears algorithm,indicator,qty,,"source, case_status, geo_code","number_of_patients_alert(reporting_date, number_of_patients)",,,,,,,,hospitalised_infected,alert
03_hospital capacity,number_of_patients_with_ventilator,,observation,people,,"Source, care_type, geo_code",,number_of_patients,,,,,"[{""variable"": ""bed_type"", ""value"": ""with_ventilator""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,,
03_hospital capacity,number_of_physicians_available,Number of available phisicianson a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""staff""}, {""variable"": ""staff_type"", ""value"": ""physician""}]",,available_staff,by staff type
03_hospital capacity,number_of_resources,,resource,qty,,"Source, resource_type, geo_code",,,,,,,,,,
03_hospital capacity,number_of_ward_operable_beds,Number of operable ward beds available on the hospital system on a given location and date,resource,qty,,"Source, resource_type, geo_code",,number_of_resources,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""ward""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,by bed_type
03_hospital capacity,number_of_ward_operable_beds_per_100k,Rayio of operable ward beds available on the hospital system over 100.000 people on a given location and date,resource,qty,,"Source, resource_per_capita, geo_code",,resources_per_capita,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""ward"", ""magnitude"": ""100k""}, {""variable"": ""case_status"", ""value"": null}, {""variable"": ""pathogen_code"", ""value"": null}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,number_of_beds,ratio in population
03_hospital capacity,occupancy_ratio,Ratio of patients being treated for the pathogen over the current available beds on a given location and time,indicator,qty,,"Source, resource_type, geo_code","occupancy_ratio(reporting_period, number_of_patients, number_of_beds)",,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}]",,hospitalised_infected,ratio in capacity
03_hospital capacity,patient_status,,characteristic,,,,,,,,,,,,,
03_hospital capacity,patients_with_comorbidities,Number of infected patients with comorbidities  (underlying health condition) for the pathogen on a given location and time,observation,people,,"source, geo_code","hospitalized_with_comorbidities(reporting_period, number_of_patients, bed_type)",number_of_patients,,,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,by comorbidity
03_hospital capacity,ratio_of_patients_with_comorbidities,ratio of hospitalized infected patients presenting an existint comorbidity (underlying health condition) over the total number of patients.,indicator,people/people,,"source, geo_code",,ratio_with_comorbidities,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""operable""},  {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,ratio with comorbidities
03_hospital capacity,ratio_of_patients_with_comorbidities_in_icu,ratio of hospitalized infected patients in ICU presenting an existint comorbidity (underlying health condition) over the total number of patientsin ICU.,indicator,people/people,,"source, geo_code",,ratio_with_comorbidities,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""icu""},  {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,ratio with comorbidities
03_hospital capacity,ratio_of_patients_with_comorbidities_in_ward,ratio of hospitalized infected patients in ward beds presenting an existint comorbidity (underlying health condition) over the total number of patientsin ward beds.,indicator,people/people,,"source, geo_code",,ratio_with_comorbidities,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""ward""},  {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,by comorbidity and bed_type
03_hospital capacity,ratio_with_comorbidities,ratio of hospitalized infected patients presenting an existint comorbidity (underlying health condition) over the total number of patients.,indicator,people/people,,"source, geo_code","ratio_with_comorbidities(reporting_period, number_of_patients, bed_type)",,,,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,ratio with comorbidities
03_hospital capacity,resource_type,,characteristic,,,,,,,,,,,,,
03_hospital capacity,resources_per_capita,,resource,qty,,"Source, resource_type, geo_code",,,,,,,,,,
03_hospital capacity,response_type,,characteristic,,,,,,,,,,,,,
03_hospital capacity,staff_type,,characteristic,,,,,,,,,,,,,
03_hospital capacity,ward_occupancy_ratio,Ratio of patients being treated in wqrdbeds for the pathogen over the current available ward beds on a given location and time,indicator,qty,,"Source, resource_type, geo_code",,occupancy_ratio,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""ward""}]",,hospitalised_infected,by bed_type
04_syndromic_surveillance,primary_care_cases,Number of primary care cases with SARI or ILI symptoms,observation,people,,"source, geo_code",,,,,,,,TRUE,primary_care_cases,
04_syndromic_surveillance,primary_care_cases_ari,,observation,people,,"source, geo_code","primary_care_cases_ari(reporting_period, hospitalised_infected_patients)",primary_care_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, population_type, variant","[{""variable"": ""case_type"", ""value"": ""SARI""}]",,primary_care_cases,ILI vs SARI
04_syndromic_surveillance,primary_care_cases_ili,,observation,people,,"source, geo_code","primary_care_cases_ili(reporting_period, hospitalised_infected_patients)",primary_care_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, population_type","[{""variable"": ""case_type"", ""value"": ""ILI""}]",,primary_care_cases,ILI vs SARI
04_syndromic_surveillance,primary_care_cases_ili_ari,,observation,people,,"source, geo_code","primary_care_cases_ili_ari(reporting_period, hospitalised_infected_patients)",primary_care_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, population_type, variant","[{""variable"": ""case_type"", ""value"": ""ILI+SARI""}]",,primary_care_cases,ILI vs SARI
04_syndromic_surveillance,primary_care_positive_cases,Number of primary care cases with SARI or ILI symptoms tested positive for the pathogen,observation,people,,"source, geo_code",,,,,,,,TRUE,primary_care_positivity,ILI vs SARI
04_syndromic_surveillance,primary_care_positive_cases_ari,,indicator,people,,"source, geo_code","primary_care_positive_cases_ari(reporting_period, hospitalised_infected_patients)",primary_care_positive_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, population_type, variant","[{""variable"": ""case_type"", ""value"": ""SARI""}]",,primary_care_positivity,ILI vs SARI
04_syndromic_surveillance,primary_care_positive_cases_ili,,indicator,people,,"source, geo_code","primary_care_positive_cases_ili(reporting_period, hospitalised_infected_patients)",primary_care_positive_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, population_type, variant","[{""variable"": ""case_type"", ""value"": ""ILI""}]",,primary_care_positivity,ILI vs SARI
04_syndromic_surveillance,primary_care_positive_cases_ili_ari,,indicator,people,,"source, geo_code","primary_care_positive_cases_ili_ari(reporting_period, hospitalised_infected_patients)",primary_care_positive_cases,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, population_type, variant","[{""variable"": ""case_type"", ""value"": ""ILI+SARI""}]",,primary_care_positivity,ILI vs SARI
04_syndromic_surveillance,primary_care_positivity,Ratio of primary care cases tested positive for the pathogen over the total number of primary cases with symptoms for SARIor ILI,indicator,people/people,,"source, geo_code","primary_care_positivity(reporting_period, primary_care_positive_cases, primary_care_cases)",,,,,,,,primary_care_positivity,ratio in cases
05_testing and lab,is_variant_of_concern,,characteristic,,variant,source,,,,,,,,,,
05_testing and lab,is_variant_of_interest,,characteristic,,variant,source,,,,,,,,,,
05_testing and lab,mutation_position,,characteristic,,,,,,,,,,,,,
05_testing and lab,mutation_type,,characteristic,,,,,,,,,,,,,
05_testing and lab,new_performed_tests,Number of tests performed for the patogen during a period of time,observation,qty,,"Source, test_result, test_type, geo_code","cum_perf_tests_to_daily(reporting_period, performed_tests)",,,,,,"[{""variable"": ""case_status"", ""value"": null}]",,performed_tests,
05_testing and lab,new_performed_tests_antigen,Number of performed tests by day and country (Test Type = antigen),indicator,qty,,"Source, test_result, test_type, geo_code","new_performed_tests_antigen(reporting_period, new_performed_tests)",new_performed_tests,,TRUE,"missing_real_data_2022_c19datahub, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""test_type"", ""value"": ""antigen""}]",,performed_tests,by test_type
05_testing and lab,new_performed_tests_naats,Number of performed tests by day and country (Test Type = NAATs),indicator,qty,,"Source, test_result, test_type, geo_code","new_performed_tests_naats(reporting_period, new_performed_tests)",new_performed_tests,,TRUE,"missing_real_data_2022_c19datahub, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""test_type"", ""value"": ""PCR""}]",,performed_tests,by test_type
05_testing and lab,new_performed_tests_per_100k,Number of performed tests each 100.000 people by day and country,indicator,qty,,"Source, test_result, test_type, geo_code","new_performed_tests_per_100k(reporting_period, new_performed_tests, population)",,,,,,,,performed_tests,by test_type
05_testing and lab,new_performed_tests_unknown,Number of performed tests by day and country (Test Type = unknown),indicator,qty,,"Source, test_result, test_type, geo_code","new_performed_tests_unknown(reporting_period, new_performed_tests)",new_performed_tests,,TRUE,"missing_real_data_2022_c19datahub, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""test_type"", ""value"": ""unknown""}]",,performed_tests,by test_type
05_testing and lab,not_sequenced_cases,Number of tests not following a NGS sequencing on a given location and time,observation,qty,,"source, geo_code","not_sequenced_cases(reporting_period, confirmed_cases)",,,,fx2023,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""variant"", ""value"": null}]",,sequenced_samples,
05_testing and lab,not_sequenced_cases_per_100k,Ratio of tests not following a NGS sequencing over 100.000 people for a given location and time,indicator,people,,"source, geo_code","not_sequenced_cases_per_100k(reporting_period, not_sequenced_cases, population)",,,,,,"[{""variable"": ""variant"", ""value"": null}]",,sequenced_samples,ratio in population
05_testing and lab,number_detections_mutation,Number of NGS sequenced tests presenting a given mutation on a given place and time,observation,people,,"source, geo_code",,,,,,,,,sequenced_samples,by mutation
05_testing and lab,number_detections_variant,Number of NGS sequenced tests presenting a given variant on a given place and time,observation,people,,"source, geo_code","number_detections_variant(reporting_period, confirmed_cases)",,,,fx2023,"age_group, gender_code, comorbidity_code, variant",,,sequenced_samples,by variant
05_testing and lab,number_detections_variant_per_100k,Ratio of NGS sequenced tests presenting a given variant over 100.000 people in a given place and time,indicator,people,,"source, geo_code","number_detections_variant_per_100k(reporting_period, number_detections_variant, population)",,,,,,,,sequenced_samples,ratio in population
05_testing and lab,performed_tests,Total number of tests performed for the patogen from the beginning of an outbreak until the given date  time,observation,qty,,"Source, test_result, test_type, geo_code","performed_tests(reporting_period, confirmed_cases)",,new_performed_tests,,fx2023,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""case_status"", ""value"": null}]",TRUE,performed_tests,
05_testing and lab,positivity_rate,Ratio of positive tests cases over the number of tests performed on a particular period and location,indicator,people/people,,"Source, test_result, geo_code","positivity_rate(reporting_period, confirmed_cases, new_performed_tests, pathogen_code)",,,,,,,,performed_tests,ratio in population
05_testing and lab,proportion_of_sequences,Ratio of numner of NGS sequenced tests detecting a particular variant over the number of sequenced tests,indicator,people,,"source, geo_code","proportion_of_sequences(reporting_period, number_detections_variant, sequenced_samples)",,,,,,"[{""variable"": ""variant"", ""value"": null}]",,performed_tests,by variant
05_testing and lab,proportion_tests_sequenced,Ratio of tests following an NGS sequencing over the global numner of tests on a particular location and period,indicator,people,,"source, geo_code","proportion_tests_sequenced(reporting_period, sequenced_samples, not_sequenced_cases)",,,,,,"[{""variable"": ""variant"", ""value"": null}]",,performed_tests,ratio in cases
05_testing and lab,sequenced_samples,Number of tests samples going through a NGS process,observation,qty,,"source, geo_code","sequenced_samples(reporting_period, confirmed_cases)",,,,fx2023,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""variant"", ""value"": null}]",TRUE,sequenced_samples,
05_testing and lab,sequenced_samples_per_100k,Ration of test following an NGS sequencing procedure over 100.000 people in a given place and time,indicator,people,,"source, geo_code","sequenced_samples_per_100k(reporting_period, sequenced_samples, population)",,,,,,"[{""variable"": ""variant"", ""value"": null}]",,sequenced_samples,ratio in population
05_testing and lab,test_result,,characteristic,,,,,,,,,,,,,
05_testing and lab,test_type,,characteristic,,,,,,,,,,,,,
05_testing and lab,variant,,referential,,,source,,,,,,,,,,
05_testing and lab,variant_detection_date,,characteristic,date,variant,source,,,,,,,,,,
05_testing and lab,variant_mutations_of_interest,,characteristic,,variant,source,,,,,,,,,,
05_testing and lab,variant_origin_country,,characteristic,,variant,source,,,,,,,,,,
05_testing and lab,variant_who_name,,characteristic,,variant,source,,,,,,,,,,
06_vaccination,additional_1_doses_vaccinated,Number of individuals having taked its first additional dose against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code",,people_vaccinated,new_additional_1_dose,,,,"[{""variable"": ""vaccination_status"", ""value"": ""1_additional_doses""}]",,doses injected,by dose_number
06_vaccination,additional_2_doses_vaccinated,Number of individuals having taked its second additional dose against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code",,people_vaccinated,new_additional_2_doses,,,,"[{""variable"": ""vaccination_status"", ""value"": ""2_additional_doses""}]",,doses injected,by dose_number
06_vaccination,additional_3_doses_vaccinated,Number of individuals having taked its third additional dose against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code",,people_vaccinated,new_additional_3_doses,,,,"[{""variable"": ""vaccination_status"", ""value"": ""3_additional_doses""}]",,doses injected,by dose_number
06_vaccination,doses_injected,Number of vaccine doses injected all types of vaccines combined on a given location and time,observation,qty,,"Source, vaccination_status, geo_code","new_to_dosed_injected(reporting_period, new_doses_injected)",,new_doses_injected,,,,,,doses injected,by dose_number
06_vaccination,new_additional_1_dose,Number of new individuals having taked its first additional dose against the pathogen on a given location and time,observation,qty,,"Source, vaccination_status, geo_code",,new_people_vaccinated,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""1_additional_doses""}]",,doses injected,by dose_number
06_vaccination,new_additional_2_doses,Number of new individuals having taked its second additional dose against the pathogen on a given location and time,observation,qty,,"Source, vaccination_status, geo_code",,new_people_vaccinated,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""2_additional_doses""}]",,doses injected,by dose_number
06_vaccination,new_additional_3_doses,Number of new individuals having taked its third additional dose against the pathogen on a given location and time,observation,qty,,"Source, vaccination_status, geo_code",,new_people_vaccinated,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""3_additional_doses""}]",,doses injected,by dose_number
06_vaccination,new_doses_injected,Number of vaccine doses injected all types of vaccines combined by week and country,observation,qty,,"Source, vaccination_status, geo_code","cum_doses_to_daily(reporting_period, doses_injected)",,,,,,,,doses injected,
06_vaccination,new_one_dose,Number of new individuals having taked its first dose against the pathogen on a given location and time,observation,qty,,"Source, vaccination_status, geo_code",,new_people_vaccinated,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""one_dose""}]",,doses injected,by dose_number
06_vaccination,new_people_vaccinated,Number of new individuals being vaccinated against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code","people_vaccinated_to_daily(reporting_period, people_vaccinated)",,,,,,,,doses injected,by dose_number
06_vaccination,new_two_doses,Number of new individuals having taked its second dose against the pathogen on a given location and time,observation,qty,,"Source, vaccination_status, geo_code",,new_people_vaccinated,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""two_doses""}]",,doses injected,by dose_number
06_vaccination,one_dose_vaccinated,Number of individuals having taked its first dose against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code",,people_vaccinated,new_one_dose,,,,"[{""variable"": ""vaccination_status"", ""value"": ""one_dose""}]",,doses injected,by dose_number
06_vaccination,people_vaccinated,Number of individuals being vaccinated against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code","new_to_people_vaccinated(reporting_period, new_people_vaccinated)",,new_people_vaccinated,,,,,,people_fully_vaccinated,by dose_number
06_vaccination,people_vaccinated_for_female,Number of people vaccinated by Gender (Female),indicator,people,,"Source, vaccination_status, geo_code","people_vaccinated_for_female(reporting_date, people_vaccinated)",people_vaccinated,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""gender_code"", ""value"": ""F""}]",,people_fully_vaccinated,by gender
06_vaccination,people_vaccinated_for_male,Number of people vaccinated by Gender (Male),indicator,people,,"Source, vaccination_status, geo_code","people_vaccinated_for_male(reporting_date, people_vaccinated)",people_vaccinated,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""gender_code"", ""value"": ""M""}]",,people_fully_vaccinated,by gender
06_vaccination,people_vaccinated_hcw,,observation,qty,,"source, geo_code",,people_vaccinated,,TRUE,missing_real_data_2022,,"[{""variable"": ""population_type"", ""value"": ""hcw""}]",,people_fully_vaccinated,by population_type
06_vaccination,people_vaccinated_hcw_admin_staff,,indicator,qty,,"source, geo_code","people_vaccinated_hcw_admin_staff(reporting_period, people_vaccinated_hcw)",people_vaccinated,,TRUE,"missing_real_data_2022, fx2023",,"[{""variable"": ""population_type"", ""value"": ""hcw_admin_staff""}]",,people_fully_vaccinated,by population_type
06_vaccination,people_vaccinated_hcw_doctors,,indicator,qty,,"source, geo_code","people_vaccinated_hcw_doctors(reporting_period, people_vaccinated_hcw)",people_vaccinated,,TRUE,"missing_real_data_2022, fx2023",,"[{""variable"": ""population_type"", ""value"": ""hcw_doctors""}]",,people_fully_vaccinated,by population_type
06_vaccination,people_vaccinated_hcw_emergency_responders,,indicator,qty,,"source, geo_code","people_vaccinated_hcw_emergency_responders(reporting_period, people_vaccinated_hcw)",people_vaccinated,,TRUE,"missing_real_data_2022, fx2023",,"[{""variable"": ""population_type"", ""value"": ""hcw_emergency_responders""}]",,people_fully_vaccinated,by population_type
06_vaccination,people_vaccinated_hcw_nurses,,indicator,qty,,"source, geo_code","people_vaccinated_hcw_nurses(reporting_period, people_vaccinated_hcw)",people_vaccinated,,TRUE,"missing_real_data_2022, fx2023",,"[{""variable"": ""population_type"", ""value"": ""hcw_nurses""}]",,people_fully_vaccinated,by population_type
06_vaccination,two_doses_vaccinated,Number of individuals having taked its second dose against the pathogen on a given location and time,observation,people,,"Source, vaccination_status, geo_code",,people_vaccinated,new_two_doses,,,,"[{""variable"": ""vaccination_status"", ""value"": ""two_doses""}]",,doses injected,by dose_number
06_vaccination,vaccin,,referential_label,,vaccin_code,,,,,,,,,,,
06_vaccination,vaccin_code,,referential,,,,,,,,,,,,,
06_vaccination,vaccination_coverage,Ratio of vaccinated individuals divided by the size of the target population on a given time,indicator,people,,"Source, vaccination_status, geo_code","vaccination_coverage(reporting_period, people_vaccinated, population, pathogen_code)",,,,,,,,people_fully_vaccinated,ratio in population
06_vaccination,vaccination_coverage_additional_1_dose,Ratio of vaccinated individuals with an adittional dose divided by the size of the target population on a given time,indicator,people,,"Source, vaccination_status, geo_code",,vaccination_coverage,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""1_additional_doses""}]",,doses injected,by dose_number
06_vaccination,vaccination_coverage_additional_2_doses,Ratio of vaccinated individuals with two adittional dose divided by the size of the target population on a given time,indicator,people,,"Source, vaccination_status, geo_code",,vaccination_coverage,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""2_additional_doses""}]",,doses injected,by dose_number
06_vaccination,vaccination_coverage_additional_3_doses,Ratio of vaccinated individuals with three adittional dose divided by the size of the target population on a given time,indicator,people,,"Source, vaccination_status, geo_code",,vaccination_coverage,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""3_additional_doses""}]",,doses injected,by dose_number
06_vaccination,vaccination_coverage_one_dose,Ratio of vaccinated individuals with one dose divided by the size of the target population on a given time,indicator,people,,"Source, vaccination_status, geo_code",,vaccination_coverage,,,,,"[{""variable"": ""vaccination_status"", ""value"": ""one_dose""}]",,doses injected,by dose_number
